Company,Skills
raksan,"['html5', 'bug fixing', 'bootstrap', 'jquery', 'grunt', 'json', 'software engineer', 'enterprise java', 'mongodb', 'rest', 'mobile', 'javascript', 'nosql', 'angularjs']"
QUICSOLV,"['html', 'css', 'javascript', 'sql', 'web services', 'html5', 'bootstrap', 'database', 'security', 'git', 'debugging', 'software engineer', 'mysql', 'rest', 'svn']"
Efftronics Systems Pvt Ltd,"['fundamentals', 'c', 'html5', 'java', 'uml', 'debugging', 'software engineer', 'object oriented programming', 'perl', 'rest', 'python', 'c', 'mobile', 'problem solving', 'javascript', 'nosql', 'ruby', 'java programming']"
Edifecs,"['java', 'spring framework', 'rdbms', 'apache spark', 'aws', 'css', 'xsd', 'bootstrap', 'artificial intelligence', 'xml', 'software engineer', 'html', 'big data', 'natural language processing', 'software delivery', 'machine learning', 'javascript']"
vrindi inc,"['html5', 'ado.net', 'bootstrap', 'jquery', 'sql', 'asp.net', 'debugging', 'software engineer', 'software engineering', 'api', 'web designing', 'phonegap', 'mongodb', 'entity framework', 'xamarin', 'mobile', 'windows', 'linq', 'umbraco']"
GreenField Software Private Limited.,"['rest api', 'hibernate', 'docker', 'java', 'spring mvc', 'xml', 'j2ee', 'json', 'software engineer', 'technical skills', 'rdbms', 'javascript', 'web technologies', 'software developer']"
mars web solutions,"['css', 'cakephp', 'mvc architecture', 'codeigniter framework', 'bootstrap', 'ajax', 'javascript', 'jquery', 'internet technologies', 'xml', 'codeigniter', 'web technologies', 'php', 'zend', 'json', 'software engineer', 'mysql', 'html', 'api']"
eurofins it solutions pvt ltd,"['c#', '.net', 'sql', 'agile', 'communication', 'soa', 'html5', 'oop', 'mvvm', 'database', 'uml', 'software engineer', 'mvc', 'rest', 'entity framework', 'team player', 'esb', 'written communication', 'service oriented architecture']"
Alstom Projects India Ltd.,"['software architecture', 'technical requirements', 'development team coordination', 'problem solving', 'debugging', 'c', 'information technology', 'ip networking', 'sql', 'security', 'database', 'software engineer', 'c#', 'windows', 'vb', 'infrastructure']"
mars web solutions,"['css', 'cakephp', 'mvc architecture', 'codeigniter framework', 'bootstrap', 'ajax', 'javascript', 'jquery', 'internet technologies', 'xml', 'codeigniter', 'web technologies', 'php', 'zend', 'json', 'software engineer', 'mysql', 'html', 'api']"
